Date,# killed,# injured
01/04/2022,0.0,00
01/04/2023,0.0,0
01/05/2021,0.0,0
01/06/2021,0.0,0
01/07/2021,0.0,0
01/08/2020,0.0,0
01/09/1997,0.0,0
01/12/2022,0.0,00
01/14/2020,0.0,000
01/14/2022,0.0,0
01/15/2021,0.0,0
01/16/2020,0.0,0
01/19/2023,0.0,6
01/22/2020,0.0,0
01/22/2021,0.0,00
01/23/2023,0.0,0
01/27/2020,0.0,000
01/27/2021,0.0,0
01/28/2020,0.0,00
01/29/2019,11.0,7
02/03/2021,0.0,000
02/04/2019,0.0,0
02/04/2022,0.0,0
02/07/2022,0.0,000
02/07/2023,0.0,0
02/09/2022,0.0,3
02/10/2011,0.0,000000000
02/14/2023,0.0,00000
02/17/2021,0.0,0
02/19/2019,0.0,00
02/22/2023,0.0,Unknown
02/23/2021,0.0,0
02/25/2020,0.0,0
02/26/2019,1.0,0
02/26/2021,0.0,0000001
02/27/2019,0.0,0
02/28/2019,0.0,11
03/03/2021,0.0,0
03/04/2022,0.0,3
03/08/2022,0.0,0
03/09/2021,0.0,0
03/17/2021,0.0,0
03/18/2021,0.0,0
03/21/2023,0.0,0
04/01/2019,0.0,0
04/05/2021,0.0,0
04/06/2021,0.0,0
04/08/2022,0.0,30
04/09/2021,0.0,000000
04/14/2023,0.0,0
04/16/2021,0.0,000
04/18/2023,0.0,0
04/19/1995,168.0,684
04/19/2022,0.0,0
04/23/1997,0.0,1
04/28/2021,0.0,000000
04/28/2023,0.0,0
05/01/2019,0.0,0
05/03/2022,0.0,0
05/04/2022,0.0,0
05/07/2013,0.0,0
05/12/2021,0.0,0
05/17/2023,0.0,0
05/19/2017,2.0,0
05/23/2021,0.0,0000
05/25/2022,0.0,2
05/28/2019,0.0,0
05/29/2020,1.0,02
06/01/2021,0.0,0
06/01/2022,0.0,1
06/03/2003,0.0,0
06/03/2020,0.0,00
06/03/2021,0.0,0
06/05/2019,0.0,0
06/06/2022,0.0,000UnknownUnknown
06/07/2016,0.0,0
06/07/2017,0.0,0
06/11/2020,0.0,0
06/13/2023,0.0,0
06/15/2020,1.0,2
06/16/2020,2.0,22
06/17/2020,0.0,000
06/18/2020,1.0,1
06/22/2020,0.0,0
06/22/2021,0.0,0
06/22/2022,0.0,00
06/27/2018,1.0,19
06/27/2023,0.0,0
06/28/2021,0.0,0
06/30/2021,0.0,00000
07/07/2021,0.0,00000
07/08/2020,0.0,0
07/09/2020,23.0,25
07/18/2022,0.0,0
07/21/2021,0.0,0
07/22/2020,0.0,1
07/25/1997,0.0,0
07/27/2022,0.0,0
07/30/2021,0.0,2
08/03/2021,0.0,0
08/05/2020,0.0,0000
08/09/2023,0.0,Unknown
08/10/2019,0.0,0
08/11/2021,0.0,000
08/12/2017,0.0,0
09/06/2022,0.0,0
09/07/2022,0.0,0
09/08/2021,0.0,0
09/11/2019,0.0,0
09/11/2020,0.0,0
09/12/2019,23.0,25
09/15/2020,0.0,0
09/15/2021,0.0,00
09/18/2019,0.0,0
09/21/2020,0.0,0
09/22/2021,0.0,00
09/25/2016,0.0,0
09/25/2019,0.0,00
09/29/2013,0.0,0
09/29/2019,0.0,UnknownUnknownUnknownUnknown
10/06/2021,0.0,20
10/06/2022,0.0,0
10/07/2020,0.0,0000000
10/08/2020,0.0,0
10/10/2018,0.0,UnknownUnknownUnknownUnknown
10/13/2020,0.0,0
10/14/2001,0.0,0
10/14/2020,0.0,00
10/15/2020,0.0,0
10/16/2019,0.0,0
10/22/2021,0.0,0
10/24/2019,0.0,0
10/26/2021,0.0,0
10/27/2020,0.0,000
10/28/2020,0.0,00
10/29/2020,0.0,0
10/29/2021,0.0,0
11/01/2018,0.0,UnknownUnknownUnknownUnknown
11/04/2020,0.0,000
11/07/2020,0.0,0
11/09/2018,1.0,0
11/10/2021,0.0,0
11/12/2019,0.0,0
11/12/2020,0.0,0
11/13/2019,0.0,0
11/15/2018,0.0,00
11/15/2021,0.0,0
11/16/2018,0.0,44
11/20/2019,0.0,0
11/9/2022,0.0,0
12/01/2021,0.0,10000
12/03/1999,0.0,000
12/08/2021,0.0,00
12/09/2022,0.0,0
12/16/2020,0.0,0
12/22/2017,2.0,0
12/23/2014,0.0,000
